Observer,adaptation_I,Time,Log_I
S.H.,400k photons,0.19,8.26
S.H.,400k photons,0.52,7.58
S.H.,400k photons,1.1,7.07
S.H.,400k photons,1.5,6.8
S.H.,400k photons,2.2,6.37
S.H.,400k photons,2.7,6.19
S.H.,400k photons,3.4,6
S.H.,400k photons,4.4,5.92
S.H.,400k photons,6.4,5.8
S.H.,400k photons,7.7,5.73
S.H.,400k photons,9.5,5.68
S.H.,400k photons,10.7,5.66
S.H.,400k photons,12.6,5.34
S.H.,400k photons,14.3,4.78
S.H.,400k photons,16,4.28
S.H.,400k photons,16.7,4.11
S.H.,400k photons,18,3.79
S.H.,400k photons,19.6,3.55
S.H.,400k photons,21.5,3.27
S.H.,400k photons,23,3.2
S.H.,400k photons,24.2,3.13
S.H.,400k photons,25.9,3.08
S.H.,400k photons,28.5,2.97
S.H.,400k photons,30.8,2.88
S.H.,400k photons,33.4,2.84
S.H.,400k photons,36,2.78
S.H.,400k photons,38.6,2.72
S.H.,38900 photons,0.1,7.16
S.H.,38900 photons,0.57,6.53
S.H.,38900 photons,1,6.11
S.H.,38900 photons,2.5,5.9
S.H.,38900 photons,3.3,5.81
S.H.,38900 photons,4.1,5.76
S.H.,38900 photons,5.3,5.75
S.H.,38900 photons,6.1,5.67
S.H.,38900 photons,7.1,5.61
S.H.,38900 photons,7.8,5.45
S.H.,38900 photons,8.9,5.26
S.H.,38900 photons,9.9,4.99
S.H.,38900 photons,10.8,4.77
S.H.,38900 photons,12.5,4.28
S.H.,38900 photons,14.3,3.81
S.H.,38900 photons,15.4,3.52
S.H.,38900 photons,16.8,3.29
S.H.,38900 photons,18.6,3.13
S.H.,38900 photons,20.5,2.99
S.H.,38900 photons,22.5,2.92
S.H.,38900 photons,23.9,2.88
S.H.,38900 photons,26,2.79
S.H.,38900 photons,29.3,2.69
S.H.,38900 photons,32,2.55
S.H.,19500 photons,0.17,6.96
S.H.,19500 photons,0.42,6.41
S.H.,19500 photons,0.97,6.11
S.H.,19500 photons,1.7,5.94
S.H.,19500 photons,2.7,5.75
S.H.,19500 photons,4.1,5.59
S.H.,19500 photons,5.1,5.42
S.H.,19500 photons,6.3,5.17
S.H.,19500 photons,7.6,4.8
S.H.,19500 photons,9.2,4.38
S.H.,19500 photons,10.7,3.98
S.H.,19500 photons,11.9,3.7
S.H.,19500 photons,13,3.5
S.H.,19500 photons,14.4,3.28
S.H.,19500 photons,16.1,3.07
S.H.,19500 photons,17.8,2.92
S.H.,19500 photons,18.8,2.83
S.H.,19500 photons,20,2.79
S.H.,19500 photons,21.1,2.78
S.H.,19500 photons,24.5,2.64
S.H.,19500 photons,26.1,2.57
S.H.,19500 photons,27.7,2.57
S.H.,19500 photons,29.8,2.58
S.H.,3800 photons,0.18,6.22
S.H.,3800 photons,0.42,5.6
S.H.,3800 photons,0.67,5.25
S.H.,3800 photons,1.3,4.92
S.H.,3800 photons,2.1,4.72
S.H.,3800 photons,2.9,4.54
S.H.,3800 photons,3.8,4.41
S.H.,3800 photons,4.9,4.15
S.H.,3800 photons,5.9,3.96
S.H.,3800 photons,7.7,3.6
S.H.,3800 photons,9.4,3.4
S.H.,3800 photons,10.6,3.16
S.H.,3800 photons,13.5,2.89
S.H.,3800 photons,15,2.8
S.H.,3800 photons,16.4,2.77
S.H.,3800 photons,18.2,2.62
S.H.,3800 photons,21.9,2.56
S.H.,3800 photons,23.7,2.49
S.H.,3800 photons,25.4,2.46
S.H.,3800 photons,28.8,2.47
S.H.,263 photons,0.14,4.78
S.H.,263 photons,0.36,4.38
S.H.,263 photons,0.5,4.12
S.H.,263 photons,0.9,3.88
S.H.,263 photons,1.4,3.71
S.H.,263 photons,2.9,3.57
S.H.,263 photons,4.1,3.45
S.H.,263 photons,5.3,3.33
S.H.,263 photons,6.2,3.24
S.H.,263 photons,7.2,3.07
S.H.,263 photons,8.9,3.02
S.H.,263 photons,10.5,2.91
S.H.,263 photons,11.5,2.82
S.H.,263 photons,13.1,2.8
S.H.,263 photons,15.1,2.72
S.H.,263 photons,17.3,2.61
S.H.,263 photons,19.7,2.58
S.H.,263 photons,23.5,2.51
S.H.,263 photons,25.8,2.55
S.H.,263 photons,27.5,2.51
C.H.,263 photons,29.6,2.53
C.H.,400k photons,0.08,8.26
C.H.,400k photons,0.38,7.12
C.H.,400k photons,0.65,6.65
C.H.,400k photons,1.2,6.31
C.H.,400k photons,2.3,5.99
C.H.,400k photons,3.1,5.78
C.H.,400k photons,4,5.64
C.H.,400k photons,4.8,5.57
C.H.,400k photons,5.7,5.55
C.H.,400k photons,7.8,5.54
C.H.,400k photons,10.5,5.48
C.H.,400k photons,12.4,5.46
C.H.,400k photons,13.5,5.41
C.H.,400k photons,14.3,5.33
C.H.,400k photons,15.1,5.16
C.H.,400k photons,16.5,4.86
C.H.,400k photons,17.8,4.5
C.H.,400k photons,19.4,4.28
C.H.,400k photons,21,4.02
C.H.,400k photons,22.5,3.76
C.H.,400k photons,24,3.55
C.H.,400k photons,25.7,3.47
C.H.,400k photons,27.8,3.42
C.H.,400k photons,30.1,3.34
C.H.,400k photons,38.2,3.28
C.H.,38900 photons,0.19,7.06
C.H.,38900 photons,0.66,6.47
C.H.,38900 photons,1.3,6.05
C.H.,38900 photons,1.8,5.86
C.H.,38900 photons,2.8,5.76
C.H.,38900 photons,4.3,5.59
C.H.,38900 photons,5.4,5.57
C.H.,38900 photons,6.3,5.54
C.H.,38900 photons,7.5,5.5
C.H.,38900 photons,8.1,5.27
C.H.,38900 photons,9.2,5.02
C.H.,38900 photons,10.3,4.64
C.H.,38900 photons,11.7,4.42
C.H.,38900 photons,13.4,4.06
C.H.,38900 photons,15.1,3.82
C.H.,38900 photons,17.7,3.63
C.H.,38900 photons,19.2,3.5
C.H.,38900 photons,22.9,3.3
C.H.,38900 photons,24.2,3.27
C.H.,38900 photons,28.3,3.15
C.H.,38900 photons,30.6,3.12
C.H.,38900 photons,32.8,3.08
C.H.,38900 photons,34.5,3.06
C.H.,38900 photons,39.9,3.07
C.H.,38900 photons,43.5,3.04
C.H.,19500 photons,0.12,6.87
C.H.,19500 photons,0.42,6.26
C.H.,19500 photons,0.74,6
C.H.,19500 photons,1.4,5.87
C.H.,19500 photons,2.3,5.75
C.H.,19500 photons,3.2,5.66
C.H.,19500 photons,4.3,5.54
C.H.,19500 photons,5.2,5.4
C.H.,19500 photons,5.9,5.17
C.H.,19500 photons,6.8,4.98
C.H.,19500 photons,7.9,4.68
C.H.,19500 photons,9,4.45
C.H.,19500 photons,11,4.05
C.H.,19500 photons,11.9,3.88
C.H.,19500 photons,13.3,3.73
C.H.,19500 photons,15.5,3.43
C.H.,19500 photons,17.5,3.36
C.H.,19500 photons,18.7,3.28
C.H.,19500 photons,21.8,3.15
C.H.,19500 photons,24.4,3.05
C.H.,19500 photons,27.5,3.01
C.H.,19500 photons,30.4,3.01
C.H.,19500 photons,34.3,3.02
C.H.,19500 photons,36.2,2.96
C.H.,3800 photons,0.19,6.08
C.H.,3800 photons,0.64,5.28
C.H.,3800 photons,1.2,5.08
C.H.,3800 photons,2,4.82
C.H.,3800 photons,2.5,4.7
C.H.,3800 photons,3.3,4.59
C.H.,3800 photons,4.3,4.45
C.H.,3800 photons,5.6,4.3
C.H.,3800 photons,6.8,4.06
C.H.,3800 photons,7.9,3.82
C.H.,3800 photons,9.2,3.67
C.H.,3800 photons,10.4,3.51
C.H.,3800 photons,11.8,3.37
C.H.,3800 photons,14.3,3.24
C.H.,3800 photons,15.9,3.14
C.H.,3800 photons,18.2,3.08
C.H.,3800 photons,19.4,3.03
C.H.,3800 photons,23.7,3
C.H.,3800 photons,26.7,2.92
C.H.,3800 photons,29.8,2.94
C.H.,3800 photons,33.1,2.9
C.H.,263 photons,0.12,4.91
C.H.,263 photons,0.3,4.45
C.H.,263 photons,0.74,3.97
C.H.,263 photons,1.7,3.8
C.H.,263 photons,2.4,3.57
C.H.,263 photons,3.3,3.42
C.H.,263 photons,4.5,3.37
C.H.,263 photons,5.6,3.22
C.H.,263 photons,7,3.11
C.H.,263 photons,8.1,3.02
C.H.,263 photons,9.8,2.98
C.H.,263 photons,10.7,2.93
C.H.,263 photons,12.2,2.92
C.H.,263 photons,14.1,2.86
C.H.,263 photons,19.7,2.89
C.H.,263 photons,21.9,2.78
C.H.,263 photons,24.8,2.86
C.H.,263 photons,28.9,2.82
A.M.C.,400k photons,0.14,8.26
A.M.C.,400k photons,0.39,7.5
A.M.C.,400k photons,0.69,7.12
A.M.C.,400k photons,1.2,6.56
A.M.C.,400k photons,1.8,6.26
A.M.C.,400k photons,2.4,6.03
A.M.C.,400k photons,3.6,5.78
A.M.C.,400k photons,5.1,5.61
A.M.C.,400k photons,7,5.54
A.M.C.,400k photons,8.1,5.43
A.M.C.,400k photons,9.6,5.38
A.M.C.,400k photons,11.3,5.39
A.M.C.,400k photons,12.5,5.43
A.M.C.,400k photons,13.3,5.3
A.M.C.,400k photons,14.5,5.22
A.M.C.,400k photons,15.2,5.11
A.M.C.,400k photons,16.1,4.83
A.M.C.,400k photons,16.9,4.56
A.M.C.,400k photons,17.9,4.36
A.M.C.,400k photons,18.6,4.09
A.M.C.,400k photons,19.8,3.84
A.M.C.,400k photons,22,3.48
A.M.C.,400k photons,23.5,3.3
A.M.C.,400k photons,25.2,3.11
A.M.C.,400k photons,27.4,2.99
A.M.C.,400k photons,30.4,2.89
A.M.C.,400k photons,34.1,2.85
A.M.C.,400k photons,37.9,2.77
A.M.C.,38900 photons,0.18,7.21
A.M.C.,38900 photons,0.51,6.75
A.M.C.,38900 photons,1.2,6.23
A.M.C.,38900 photons,1.8,5.99
A.M.C.,38900 photons,2.4,5.84
A.M.C.,38900 photons,3.4,5.7
A.M.C.,38900 photons,5.6,5.65
A.M.C.,38900 photons,7.9,5.61
A.M.C.,38900 photons,9.3,5.47
A.M.C.,38900 photons,10.3,5.28
A.M.C.,38900 photons,11.2,5.16
A.M.C.,38900 photons,12,4.66
A.M.C.,38900 photons,13.7,4.41
A.M.C.,38900 photons,14.9,4.04
A.M.C.,38900 photons,16.2,3.7
A.M.C.,38900 photons,17.9,3.48
A.M.C.,38900 photons,19,3.37
A.M.C.,38900 photons,20.6,3.13
A.M.C.,38900 photons,23.5,3.03
A.M.C.,38900 photons,26.1,2.89
A.M.C.,38900 photons,28.1,2.83
A.M.C.,38900 photons,29.9,2.79
A.M.C.,38900 photons,32,2.73
A.M.C.,38900 photons,34.7,2.72
A.M.C.,38900 photons,37.4,2.69
A.M.C.,38900 photons,39.1,2.68
A.M.C.,19500 photons,0.11,6.96
A.M.C.,19500 photons,0.33,6.56
A.M.C.,19500 photons,0.55,6.26
A.M.C.,19500 photons,1.1,6
A.M.C.,19500 photons,1.6,5.83
A.M.C.,19500 photons,2.4,5.72
A.M.C.,19500 photons,3.3,5.61
A.M.C.,19500 photons,4.2,5.6
A.M.C.,19500 photons,5.4,5.57
A.M.C.,19500 photons,6.2,5.54
A.M.C.,19500 photons,7.1,5.43
A.M.C.,19500 photons,7.7,5.27
A.M.C.,19500 photons,8.1,5.08
A.M.C.,19500 photons,9.1,4.81
A.M.C.,19500 photons,10.4,4.46
A.M.C.,19500 photons,11.7,4.13
A.M.C.,19500 photons,12.7,3.95
A.M.C.,19500 photons,14,3.65
A.M.C.,19500 photons,15.2,3.45
A.M.C.,19500 photons,16.4,3.28
A.M.C.,19500 photons,17.9,3.1
A.M.C.,19500 photons,19.8,2.95
A.M.C.,19500 photons,21,2.86
A.M.C.,19500 photons,23.2,2.81
A.M.C.,19500 photons,26,2.69
A.M.C.,19500 photons,29.1,2.61
A.M.C.,19500 photons,30.4,2.6
A.M.C.,19500 photons,31.7,2.6
A.M.C.,19500 photons,34.3,2.52
A.M.C.,3800 photons,0.11,6.32
A.M.C.,3800 photons,0.4,5.65
A.M.C.,3800 photons,0.8,5.16
A.M.C.,3800 photons,1.3,5.05
A.M.C.,3800 photons,1.8,4.91
A.M.C.,3800 photons,2.5,4.84
A.M.C.,3800 photons,3.2,4.71
A.M.C.,3800 photons,4.1,4.5
A.M.C.,3800 photons,4.9,4.28
A.M.C.,3800 photons,5.8,4.08
A.M.C.,3800 photons,6.7,3.89
A.M.C.,3800 photons,7.6,3.72
A.M.C.,3800 photons,8.5,3.63
A.M.C.,3800 photons,9.7,3.53
A.M.C.,3800 photons,10.5,3.28
A.M.C.,3800 photons,11.4,3.14
A.M.C.,3800 photons,12.9,3.07
A.M.C.,3800 photons,14.6,2.87
A.M.C.,3800 photons,15.7,2.79
A.M.C.,3800 photons,17,2.74
A.M.C.,3800 photons,18.1,2.74
A.M.C.,3800 photons,20.2,2.59
A.M.C.,3800 photons,22.9,2.45
A.M.C.,3800 photons,24.3,2.45
A.M.C.,3800 photons,26,2.36
A.M.C.,3800 photons,28.1,2.42
A.M.C.,3800 photons,31,2.33
A.M.C.,3800 photons,32.4,2.36
A.M.C.,3800 photons,35.5,2.32
A.M.C.,263 photons,0.13,4.78
A.M.C.,263 photons,0.3,4.03
A.M.C.,263 photons,0.83,3.57
A.M.C.,263 photons,1.6,3.38
A.M.C.,263 photons,2.6,3.25
A.M.C.,263 photons,3.7,3.05
A.M.C.,263 photons,5,2.93
A.M.C.,263 photons,5.8,2.84
A.M.C.,263 photons,6.8,2.8
A.M.C.,263 photons,8.2,2.68
A.M.C.,263 photons,10.6,2.55
A.M.C.,263 photons,12.1,2.48
A.M.C.,263 photons,14,2.42
A.M.C.,263 photons,15.8,2.37
A.M.C.,263 photons,19.1,2.29
A.M.C.,263 photons,20.8,2.21
A.M.C.,263 photons,25.7,2.19
A.M.C.,263 photons,27.6,2.19
A.M.C.,263 photons,30.5,2.2
